path,user,test,no_para,are_timestamps_distinct,initial_rows,final_rows,dropped_rows
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008b_test6_IDS_06_03-09-2019/User008b_test6_IDS_06_03-09-2019_recording0,8,6,5,TRUE,21032,18748,2284
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008d_test15_BDS_15_03-09-2019/User008d_test15_BDS_15_03-09-2019_recording0,8,15,5,TRUE,15862,13599,2263
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008d_test13_BES_13_03-09-2019/User008d_test13_BES_13_03-09-2019_recording0,8,13,5,TRUE,16116,13375,2741
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008b_test5_BES_05_03-09-2019/User008b_test5_BES_05_03-09-2019_recording0,8,5,5,TRUE,30039,24733,5306
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008a_test3_BDT_03_03-09-2019/User008a_test3_BDT_03_03-09-2019_recording0,8,3,5,TRUE,13014,6456,6558
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008c_test11_BDT_11_03-09-2019/User008c_test11_BDT_11_03-09-2019_recording0,8,11,5,TRUE,12484,10746,1738
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008c_test10_IDT_10_03-09-2019/User008c_test10_IDT_10_03-09-2019_recording0,8,10,5,TRUE,16688,14243,2445
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008c_test8_IET_08_03-09-2019/User008c_test8_IET_08_03-09-2019_recording0,8,8,5,TRUE,22898,18097,4801
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User008a_Group_Test_03-09-2019--13-13-00/User008c_test9_BET_09_03-09-2019/User008c_test9_BET_09_03-09-2019_recording0,8,9,5,TRUE,16801,14413,2388
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003D_test15_BDS_15_30-08-2019/User003D_test15_BDS_15_30-08-2019_recording0,3,15,5,TRUE,14790,13823,967
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test14_IDS_14_30-08-2019/User003C_test14_IDS_14_30-08-2019_recording0,3,14,5,TRUE,4217,3820,397
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003_test1_BET_01_30-08-2019/User003_test1_BET_01_30-08-2019_recording0,3,1,5,TRUE,11571,9849,1722
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test12_IES_12_30-08-2019/User003C_test12_IES_12_30-08-2019_recording0,3,12,5,TRUE,5159,4775,384
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003_test2_IDT_02_30-08-2019/User003_test2_IDT_02_30-08-2019_recording0,3,2,5,TRUE,9572,9427,145
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test13_BES_13_30-08-2019/User003C_test13_BES_13_30-08-2019_recording0,3,13,5,TRUE,5127,4678,449
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003_test0_IET_00_30-08-2019/User003_test0_IET_00_30-08-2019_recording0,3,0,5,TRUE,10155,9995,160
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003_test3_BDT_03_30-08-2019/User003_test3_BDT_03_30-08-2019_recording0,3,3,5,TRUE,13287,13117,170
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test10_IDT_10_30-08-2019/User003C_test10_IDT_10_30-08-2019_recording0,3,10,5,TRUE,12867,12208,659
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test9_BET_09_30-08-2019/User003C_test9_BET_09_30-08-2019_recording0,3,9,5,TRUE,14778,13756,1022
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003C_test11_BDT_11_30-08-2019/User003C_test11_BDT_11_30-08-2019_recording0,3,11,5,TRUE,16687,13837,2850
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003B_test7_BDS_07_30-08-2019/User003B_test7_BDS_07_30-08-2019_recording0,3,7,5,TRUE,6669,6327,342
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003B_test4_IES_04_30-08-2019/User003B_test4_IES_04_30-08-2019_recording0,3,4,5,TRUE,5648,5272,376
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003B_test6_IDS_06_30-08-2019/User003B_test6_IDS_06_30-08-2019_recording0,3,6,5,TRUE,6798,6460,338
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003B_test8_IET_08_30-08-2019/User003B_test8_IET_08_30-08-2019_recording0,3,8,5,TRUE,5607,5351,256
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User003_Group_Test_30-08-2019--15-16-35/User003B_test5_BES_05_30-08-2019/User003B_test5_BES_05_30-08-2019_recording0,3,5,5,TRUE,12988,12666,322
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009c_test10_IDT_10_03-09-2019/User009c_test10_IDT_10_03-09-2019_recording0,9,10,5,TRUE,17821,16982,839
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009c_test11_BDT_11_03-09-2019/User009c_test11_BDT_11_03-09-2019_recording0,9,11,5,TRUE,21444,20652,792
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009b_test4_IES_04_03-09-2019/User009b_test4_IES_04_03-09-2019_recording0,9,4,5,TRUE,18099,17759,340
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009a_test2_IDT_02_03-09-2019/User009a_test2_IDT_02_03-09-2019_recording0,9,2,5,TRUE,16148,15978,170
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009d_test13_BES_13_03-09-2019/User009d_test13_BES_13_03-09-2019_recording0,9,13,5,TRUE,14884,14032,852
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009a_test1_BET_01_03-09-2019/User009a_test1_BET_01_03-09-2019_recording0,9,1,5,TRUE,19211,19047,164
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009d_test15_BDS_15_03-09-2019/User009d_test15_BDS_15_03-09-2019_recording0,9,15,5,TRUE,14674,14028,646
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009b_test7_BDS_07_03-09-2019/User009b_test7_BDS_07_03-09-2019_recording0,9,7,5,TRUE,17744,17382,362
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009a_test3_BDT_03_03-09-2019/User009a_test3_BDT_03_03-09-2019_recording0,9,3,5,TRUE,12460,12379,81
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009b_test5_BES_05_03-09-2019/User009b_test5_BES_05_03-09-2019_recording0,9,5,5,TRUE,23479,23182,297
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009b_test6_IDS_06_03-09-2019/User009b_test6_IDS_06_03-09-2019_recording0,9,6,5,TRUE,20474,20100,374
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009d_test14_IDS_14_03-09-2019/User009d_test14_IDS_14_03-09-2019_recording0,9,14,5,TRUE,13387,12546,841
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009a_test0_IET_00_03-09-2019/User009a_test0_IET_00_03-09-2019_recording0,9,0,5,TRUE,13125,13016,109
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009d_test12_IES_12_03-09-2019/User009d_test12_IES_12_03-09-2019_recording0,9,12,5,TRUE,15464,14613,851
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009c_test8_IET_08_03-09-2019/User009c_test8_IET_08_03-09-2019_recording0,9,8,5,TRUE,20651,20086,565
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User009a_Group_Test_03-09-2019--15-30-19/User009c_test9_BET_09_03-09-2019/User009c_test9_BET_09_03-09-2019_recording0,9,9,5,TRUE,17710,17140,570
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007a_test2_IDT_02_03-09-2019/User007a_test2_IDT_02_03-09-2019_recording0,7,2,5,TRUE,12097,11758,339
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007b_test4_IES_04_03-09-2019/User007b_test4_IES_04_03-09-2019_recording0,7,4,5,TRUE,15098,14594,504
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007b_test7_BDS_07_03-09-2019/User007b_test7_BDS_07_03-09-2019_recording0,7,7,5,TRUE,10851,10497,354
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007a_test1_BET_01_03-09-2019/User007a_test1_BET_01_03-09-2019_recording0,7,1,5,TRUE,13195,12974,221
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007b_test5_BES_05_03-09-2019/User007b_test5_BES_05_03-09-2019_recording0,7,5,5,TRUE,14515,14015,500
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007a_test3_BDT_03_03-09-2019/User007a_test3_BDT_03_03-09-2019_recording0,7,3,5,TRUE,12883,11361,1522
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007a_test0_IET_00_03-09-2019/User007a_test0_IET_00_03-09-2019_recording0,7,0,5,TRUE,10362,9811,551
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007b_test6_IDS_06_03-09-2019/User007b_test6_IDS_06_03-09-2019_recording0,7,6,5,TRUE,6876,6504,372
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007d_test13_BES_13_03-09-2019/User007d_test13_BES_13_03-09-2019_recording0,7,13,5,TRUE,13945,12982,963
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007d_test15_BDS_15_03-09-2019/User007d_test15_BDS_15_03-09-2019_recording0,7,15,5,TRUE,11092,10134,958
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007d_test14_IDS_14_03-09-2019/User007d_test14_IDS_14_03-09-2019_recording0,7,14,5,TRUE,13758,12978,780
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007d_test12_IES_12_03-09-2019/User007d_test12_IES_12_03-09-2019_recording0,7,12,5,TRUE,10826,9951,875
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007c_test10_IDT_10_03-09-2019/User007c_test10_IDT_10_03-09-2019_recording0,7,10,5,TRUE,10623,9925,698
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007c_test8_IET_08_03-09-2019/User007c_test8_IET_08_03-09-2019_recording0,7,8,5,TRUE,17144,16489,655
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007c_test11_BDT_11_03-09-2019/User007c_test11_BDT_11_03-09-2019_recording0,7,11,5,TRUE,12480,11900,580
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User007a_Group_Test_03-09-2019--10-01-39/User007c_test9_BET_09_03-09-2019/User007c_test9_BET_09_03-09-2019_recording0,7,9,5,TRUE,11170,10443,727
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002C_test10_IDT_10_30-08-2019/User002C_test10_IDT_10_30-08-2019_recording0,2,10,5,TRUE,13758,12566,1192
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002C_test11_BDT_11_30-08-2019/User002C_test11_BDT_11_30-08-2019_recording0,2,11,5,TRUE,11883,10704,1179
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002D_test13_BES_13_30-08-2019/Uuer002D_test13_BES_13_30-08-2019_recording0,2,13,5,TRUE,9320,7793,1527
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002C_test9_BET_09_30-08-2019/User002C_test9_BET_09_30-08-2019_recording0,2,9,5,TRUE,10145,8920,1225
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002D_test15_BDS_15_30-08-2019/Uuer002D_test15_BDS_15_30-08-2019_recording0,2,15,5,TRUE,16118,14790,1328
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002C_test12_IES_12_30-08-2019/User002C_test12_IES_12_30-08-2019_recording0,2,12,5,TRUE,7618,6697,921
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002D_test14_IDS_14_30-08-2019/Uuer002D_test14_IDS_14_30-08-2019_recording0,2,14,5,TRUE,8672,7227,1445
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002_test0_IET_00_30-08-2019/User002_test0_IET_00_30-08-2019_recording0,2,0,5,TRUE,9994,9347,647
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002B_test5_BES_05_30-08-2019/User002B_test5_BES_05_30-08-2019_recording0,2,5,5,TRUE,9233,8342,891
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002B_test8_IET_08_30-08-2019/User002B_test8_IET_08_30-08-2019_recording0,2,8,5,TRUE,8032,7588,444
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002B_test6_IDS_06_30-08-2019/User002B_test6_IDS_06_30-08-2019_recording0,2,6,5,TRUE,12006,11240,766
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002_test3_BDT_03_30-08-2019/User002_test3_BDT_03_30-08-2019_recording0,2,3,5,TRUE,12235,11593,642
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002B_test4_IES_04_30-08-2019/User002B_test4_IES_04_30-08-2019_recording0,2,4,5,TRUE,6705,5742,963
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002_test1_BET_01_30-08-2019/User002_test1_BET_01_30-08-2019_recording0,2,1,5,TRUE,12961,10051,2910
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002_test2_IDT_02_30-08-2019/User002_test2_IDT_02_30-08-2019_recording0,2,2,5,TRUE,14433,12290,2143
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User002_Group_Test_30-08-2019--12-57-10/User002B_test7_BDS_07_30-08-2019/User002B_test7_BDS_07_30-08-2019_recording0,2,7,5,TRUE,11611,11076,535
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022d_test4_IES_04_10-09-2019/User022d_test4_IES_04_10-09-2019_recording0,22,4,5,TRUE,8691,7902,789
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022c_test1_BET_01_10-09-2019/User022c_test1_BET_01_10-09-2019_recording0,22,1,5,TRUE,9771,9108,663
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022c_test2_IDT_02_10-09-2019/User022c_test2_IDT_02_10-09-2019_recording0,22,2,5,TRUE,9061,8461,600
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022d_test7_BDS_07_10-09-2019/User022d_test7_BDS_07_10-09-2019_recording0,22,7,5,TRUE,5152,4571,581
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022c_test0_IET_00_10-09-2019/User022c_test0_IET_00_10-09-2019_recording0,22,0,5,TRUE,8869,8228,641
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022d_test5_BES_05_10-09-2019/User022d_test5_BES_05_10-09-2019_recording0,22,5,5,TRUE,8994,8207,787
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022d_test6_IDS_06_10-09-2019/User022d_test6_IDS_06_10-09-2019_recording0,22,6,5,TRUE,8010,7272,738
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022c_test3_BDT_03_10-09-2019/User022c_test3_BDT_03_10-09-2019_recording0,22,3,5,TRUE,7053,6529,524
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022a_test8_IET_08_10-09-2019/User022a_test8_IET_08_10-09-2019_recording0,22,8,5,TRUE,10653,10434,219
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022b_test12_IES_12_10-09-2019/User022b_test12_IES_12_10-09-2019_recording0,22,12,5,TRUE,13427,12979,448
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022b_test14_IDS_14_10-09-2019/User022b_test14_IDS_14_10-09-2019_recording0,22,14,5,TRUE,8861,8444,417
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022b_test15_BDS_15_10-09-2019/User022b_test15_BDS_15_10-09-2019_recording0,22,15,5,TRUE,8914,8504,410
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022b_test13_BES_13_10-09-2019/User022b_test13_BES_13_10-09-2019_recording0,22,13,5,TRUE,9742,9345,397
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022a_test9_BET_09_10-09-2019/User022a_test9_BET_09_10-09-2019_recording0,22,9,5,TRUE,11042,10831,211
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022a_test10_IDT_10_10-09-2019/User022a_test10_IDT_10_10-09-2019_recording0,22,10,5,TRUE,11624,11374,250
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User022a_Group_Test_10-09-2019--13-16-07/User022a_test11_BDT_11_10-09-2019/User022a_test11_BDT_11_10-09-2019_recording0,22,11,5,TRUE,6980,6771,209
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019d_test7_BDS_07_06-09-2019/User019d_test7_BDS_07_06-09-2019_recording0,19,7,5,TRUE,3411,2544,867
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019c_test2_IDT_02_06-09-2019/User019c_test2_IDT_02_06-09-2019_recording0,19,2,5,TRUE,2171,1769,402
/root/autodl-tmp/EEG/src/Dissertation/Experiment Anonymised Version/User019a_Group_Test_06-09-2019--15-26-42/User019c_test1_BET_01_06-09-2019/User019c_test1_BET_01_06-09-2019_recording0,19,1,5,TRUE,4643,3327,1316
